,0,1,2,3,4,5,6
0,3102664781,2016-03-01,22:03:05,3号线曹杨路,地铁,4.0,非优惠
1,3102664781,2016-03-01,11:38:03,3号线虹口足球场,地铁,3.0,优惠
2,3102664781,2016-03-01,10:51:52,11号线枫桥路,地铁,0.0,非优惠
3,3102664781,2016-03-01,21:43:07,3号线虹口足球场,地铁,0.0,非优惠
4,602141128,2016-03-01,08:35:04,1号线莘庄,地铁,0.0,非优惠
5,602141128,2016-03-01,14:05:05,2号线虹桥火车站,地铁,5.0,非优惠
6,602141128,2016-03-01,09:29:05,4号线大连路,地铁,5.0,非优惠
7,602141128,2016-03-01,13:08:13,4号线大连路,地铁,0.0,非优惠
8,2804568717,2016-03-01,09:19:43,9号线嘉善路,地铁,3.0,优惠
9,2804568717,2016-03-01,08:43:40,8号线黄兴路,地铁,0.0,非优惠
10,2804568717,2016-03-01,17:22:52,9号线嘉善路,地铁,0.0,非优惠
11,2804568717,2016-03-01,17:53:04,12号线宁国路,地铁,4.0,非优惠
12,2204979697,2016-03-01,18:21:22,4号线世纪大道,地铁,3.0,非优惠
13,2204979697,2016-03-01,18:12:06,9号线小南门,地铁,0.0,非优惠
14,3001681582,2016-03-01,15:32:17,1号线陕西南路,地铁,0.0,非优惠
15,3001681582,2016-03-01,16:29:35,11号线马陆,地铁,5.0,非优惠
16,3001681582,2016-03-01,13:39:55,1号线陕西南路,地铁,4.0,优惠
17,3001681582,2016-03-01,12:45:12,11号线马陆,地铁,0.0,非优惠
18,2104253975,2016-03-01,08:34:49,11号线隆德路,地铁,4.0,非优惠
19,2104253975,2016-03-01,17:15:52,11号线隆德路,地铁,0.0,非优惠
20,2104253975,2016-03-01,08:03:34,11号线南翔,地铁,0.0,非优惠
21,2104253975,2016-03-01,17:41:03,11号线南翔,地铁,4.0,非优惠
22,2904375530,2016-03-01,13:54:48,7号线岚皋路,地铁,0.0,非优惠
23,2904375530,2016-03-01,14:28:09,13号线金沙江西路,地铁,4.0,非优惠
24,2904375530,2016-03-01,13:02:56,7号线岚皋路,地铁,4.0,非优惠
25,2904375530,2016-03-01,12:19:06,13号线金沙江西路,地铁,0.0,非优惠
26,2001346673,2016-03-01,19:00:48,2号线陆家嘴,地铁,0.0,非优惠
27,2001346673,2016-03-01,19:09:54,4号线世纪大道,地铁,3.0,非优惠
28,2001346673,2016-03-01,08:45:27,2号线陆家嘴,地铁,4.0,非优惠
29,2001346673,2016-03-01,08:15:13,2号线广兰路,地铁,0.0,非优惠
30,101438819,2016-03-01,09:30:55,8号线人民广场,地铁,5.0,非优惠
31,101438819,2016-03-01,08:45:45,3号线宝杨路,地铁,0.0,非优惠
32,2105131606,2016-03-01,22:00:08,9号线七宝,地铁,0.0,非优惠
33,2105131606,2016-03-01,13:56:39,11号线御桥,地铁,0.0,非优惠
34,2105131606,2016-03-01,22:51:56,11号线御桥,地铁,5.0,非优惠
35,2105131606,2016-03-01,14:46:06,9号线七宝,地铁,5.0,非优惠
36,2904632718,2016-03-01,18:52:10,11号线三林,地铁,4.0,非优惠
37,2904632718,2016-03-01,08:37:30,11号线上海游泳馆,地铁,4.0,非优惠
38,2904632718,2016-03-01,08:20:35,11号线三林,地铁,0.0,非优惠
39,2904632718,2016-03-01,18:34:56,11号线上海游泳馆,地铁,0.0,非优惠
40,3103989056,2016-03-01,09:10:22,2号线金科路,地铁,2.0,优惠
41,3103989056,2016-03-01,20:48:28,2号线金科路,地铁,0.0,非优惠
42,3103989056,2016-03-01,09:00:14,2号线龙阳路,地铁,0.0,非优惠
43,3103989056,2016-03-01,20:59:41,2号线龙阳路,地铁,3.0,非优惠
44,2103672292,2016-03-01,20:23:13,2号线淞虹路,地铁,0.0,非优惠
