,0,1,2,3,4,5,6,7,8,9
0,NBBM,TERMINAL,LINE,XLMC,STATION,INOUTSTATION_STATUS,DIRECTION,REPORT,LONGITUDE_OLD,LATITUDE_OLD
1,W0G-007,053L0163,10065,81·,,1,1,2016-4-1 4:13:22,121.564855,31.2669533333333
2,W0G-007,053L0163,10065,81·,,1,1,2016-4-1 4:14:31,121.569358333333,31.270845
3,W0G-007,053L0163,10065,81·,828A0002,1,1,2016-4-1 4:14:41,121.57018,31.2714883333333
4,W0G-007,053L0163,10065,81·,828B0002,0,1,2016-4-1 4:15:27,121.57191,31.275105
5,W0G-007,053L0163,10065,81·,828B0002,1,1,2016-4-1 4:15:37,121.572276666667,31.2760633333333
6,W0G-007,053L0163,10065,81·,848B0001,0,1,2016-4-1 4:16:28,121.572608333333,31.28114
7,W0G-007,053L0163,10065,81·,848B0001,1,1,2016-4-1 4:16:38,121.572425,31.28208
8,W0G-007,053L0163,10065,81·,858A0000,0,1,2016-4-1 4:17:08,121.571785,31.285265
9,W0G-007,053L0163,10065,81·,858A0000,1,1,2016-4-1 4:17:19,121.571315,31.28649
10,W0G-007,053L0163,10065,81·,868A0005,0,1,2016-4-1 4:18:15,121.56773,31.2925366666667
11,W0G-007,053L0163,10065,81·,868A0005,1,1,2016-4-1 4:18:20,121.56742,31.292915
12,W0G-007,053L0163,10065,81·,88890001,0,1,2016-4-1 4:21:04,121.563756666667,31.301085
13,W0G-007,053L0163,10065,81·,88890001,1,1,2016-4-1 4:21:14,121.563776666667,31.3021116666667
14,W0G-007,053L0163,10065,81·,8A890000,0,1,2016-4-1 4:22:33,121.562455,31.3078566666667
15,W0G-007,053L0163,10065,81·,8A890000,1,1,2016-4-1 4:22:42,121.562361666667,31.3088466666667
16,W0G-007,053L0163,10065,81·,8C890001,0,1,2016-4-1 4:23:55,121.56236,31.3167916666667
17,W0G-007,053L0163,10065,81·,8C890001,1,1,2016-4-1 4:24:05,121.562143333333,31.3177566666667
18,W0G-007,053L0163,10065,81·,8D890001,0,1,2016-4-1 4:25:21,121.562921666667,31.32287
19,W0G-007,053L0163,10065,81·,8D890001,1,1,2016-4-1 4:25:30,121.563121666667,31.3237966666667
20,W0G-007,053L0163,10065,81·,8E890001,0,1,2016-4-1 4:25:54,121.563693333333,31.3261633333333
21,W0G-007,053L0163,10065,81·,8E890001,1,1,2016-4-1 4:26:01,121.563973333333,31.3268933333333
22,W0G-007,053L0163,10065,81·,8F890001,0,1,2016-4-1 4:27:06,121.564701666667,31.3326733333333
23,W0G-007,053L0163,10065,81·,8F890001,1,1,2016-4-1 4:27:17,121.565625,31.33357
